match_id,home,away,label,market_source,mkt_p_A,mkt_p_D,mkt_p_H,elo_oof_A,elo_oof_D,elo_oof_H,mkt64_oof_A,mkt64_oof_D,mkt64_oof_H,blendA_oof_A,blendA_oof_D,blendA_oof_H
1,Mexico,South Africa,H,polymarket,0.105,0.205,0.695,0.019511894231181687,0.3756397139090365,0.6048483918597817,0.10500000000000001,0.20500000000000002,0.6950000000000001,0.0405143384589753,0.35875037720601527,0.6007352843350093
2,South Korea,Czechia,H,p_model,0.2351,0.2645,0.5004,0.11303618853564583,0.352732691634477,0.534231119829877,0.23510000000000003,0.2645,0.5004,0.13338574580403786,0.3418442300379703,0.5247700241579919
3,Canada,Bosnia and Herzegovina,D,p_model,0.0756,0.1662,0.7582,0.020926395772911395,0.20533755355125094,0.7737360506758377,0.0756,0.16619999999999996,0.7582000000000001,0.030011216962030136,0.20710028058194146,0.7628885024560284
4,USA,Paraguay,H,polymarket,0.235,0.285,0.495,0.0282900427564511,0.393864116473415,0.5778458407701338,0.23499999999999993,0.28500000000000003,0.495,0.08498868448543137,0.38702637538920237,0.5279849401253662
5,Qatar,Switzerland,D,polymarket,0.795,0.135,0.063,0.7348470475856482,0.11557387090901952,0.14957908150533228,0.795,0.135,0.06299999999999999,0.8211096903240319,0.06040918971411653,0.11848111996185176
6,Brazil,Morocco,D,polymarket,0.175,0.245,0.585,0.07273529521810972,0.34474588246247845,0.5825188223194118,0.17500000000000002,0.24500000000000005,0.585,0.09396787574280763,0.3257162130339481,0.5803159112232442
7,Haiti,Scotland,A,polymarket,0.625,0.225,0.145,0.53626326004671,0.20484377532513837,0.2588929646281517,0.625,0.22500000000000003,0.145,0.5175817500397366,0.21445129124648216,0.2679669587137811
8,Australia,Türkiye,H,polymarket,0.565,0.255,0.175,0.16217668869837792,0.34292577742421076,0.49489753387741126,0.5649999999999998,0.25499999999999995,0.17500000000000002,0.39931621964750075,0.2630214204878183,0.33766235986468096
9,Germany,Curaçao,H,polymarket,0.0225,0.0415,0.9385,0.0033744787663504234,0.3248651243451749,0.6717603968884747,0.022499999999999996,0.041499999999999995,0.9385,0.011790311259988803,0.3096835841391061,0.6785261046009051
10,Netherlands,Japan,D,polymarket,0.265,0.265,0.465,0.07760365681422435,0.35103960136632156,0.571356741819454,0.26500000000000007,0.26500000000000007,0.46499999999999997,0.13442368935070986,0.3317788983679567,0.5337974122813334
11,Côte d'Ivoire,Ecuador,H,polymarket,0.395,0.335,0.265,0.4111679033306845,0.2675890770905179,0.3212430195787977,0.395,0.335,0.26500000000000007,0.3368235497434472,0.30023831623566266,0.36293813402089015
